Wavelength (nm),absorption_amplitude,band_depth,foldername,%_change
2204.0,0.004468519457697599,0.13270588046425302,bent005ck,
2204.0,0.00406179894087259,0.12586648831601233,bent005pem,-9.101907705121006
2206.4,0.0041238267546021175,0.12526492615932994,bent005ppfm,-7.713801100310848
2206.4,0.004088734902721165,0.12357778912619599,bent005ppfr,-8.499113824428049
2206.4,0.0036252209459525196,0.10532021574702721,bent5ck,
2206.4,0.00354594767974966,0.10500860146384394,bent5pem,-2.1867154412027348
2206.4,0.0035436112325381783,0.10351061610037005,bent5ppfm,-2.2511652291278086
2206.4,0.0035832053135606418,0.1030732729851288,bent5ppfr,-1.1589812874381464
2206.4,0.00555955786239928,0.18743196272078344,kao005ck,
2206.4,0.0052107250254174765,0.1754060385845866,kao005pem,-6.274470841306461
2206.4,0.005649557099622369,0.1917352356923533,kao005ppfm,1.6188200473957959
2206.4,0.005621185594348297,0.18926711270104712,kao005ppfr,1.1085005943695827
2206.4,0.0056088078108492145,0.1892061574464048,kao5ck,
2206.4,0.00533610421908684,0.17828095925192966,kao5pem,-4.862059834442518
2206.4,0.005820357905400503,0.1943806210445287,kao5ppfm,3.771747966512299
2206.4,0.005685850956120814,0.19014859426185604,kao5ppfr,1.3736100053664393
